ID;dataset;architecture;seed;steps;
10;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);8753762;9000;
11;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);793248;9000;
12;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);6328928;9000;
13;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);7962183;9000;
14;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);13981397;9000;
15;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);1368476;9000;
16;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);9624634;9000;
17;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);5324828;9000;
18;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);37711397;9000;
19;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);75896173;9000;
